                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.333,                 2.3955,                 1.6214,                0.34408,                0.22581,                0.27358,                0.09005,                  1.746,                 3.0538,                 2.0735,             0.00065116,             0.00065116,             0.00065116
                      1,                 1.4508,                 2.2083,                 1.7589,                0.22592,                0.19355,                0.19746,                0.12206,                 1.9762,                 3.1575,                 2.3642,              0.0012743,              0.0012743,              0.0012743
                      2,                 1.4942,                 2.2353,                 1.7924,                0.20283,                0.32839,                0.16315,                0.08849,                  1.943,                 3.8007,                 2.3554,              0.0018535,              0.0018535,              0.0018535
                      3,                  1.645,                  2.255,                  1.903,                0.39128,                0.24916,                0.21636,                0.06451,                 2.1496,                 3.6561,                 2.5588,               0.001802,               0.001802,               0.001802
                      4,                 1.5061,                  2.185,                 1.7917,                0.38533,                0.32258,                0.29675,                0.11718,                 2.0529,                 2.9995,                 2.4009,               0.001802,               0.001802,               0.001802
                      5,                 1.6862,                 2.2373,                 1.9058,                 0.2348,                0.32258,                0.27388,                0.12162,                 1.8997,                 3.0107,                 2.3787,               0.001736,               0.001736,               0.001736
                      6,                 1.6441,                 2.2164,                 1.9617,                0.39952,                0.51512,                0.41875,                0.14313,                  2.101,                 2.6965,                   2.54,                0.00167,                0.00167,                0.00167
                      7,                 1.6289,                 2.1665,                 1.8719,                 0.2802,                0.29032,                0.23217,                0.11185,                 2.3584,                 3.1038,                 2.8059,               0.001604,               0.001604,               0.001604
                      8,                 1.6885,                 2.2021,                 1.9317,                 0.2658,                0.32258,                0.19993,                0.06127,                 2.6813,                 4.2562,                 3.3845,               0.001538,               0.001538,               0.001538
                      9,                 1.6447,                 2.1802,                 1.9265,                0.38112,                0.32258,                0.29996,                0.12169,                 2.1914,                 3.2688,                 2.4881,               0.001472,               0.001472,               0.001472
                     10,                 1.5989,                  2.109,                  1.867,                0.34088,                0.35484,                0.27278,                0.08551,                 2.2018,                 2.9974,                 2.6194,               0.001406,               0.001406,               0.001406
                     11,                 1.5543,                 2.0232,                 1.8373,                0.32447,                0.48387,                0.31019,                0.12397,                  2.145,                 2.6696,                 2.6313,                0.00134,                0.00134,                0.00134
                     12,                  1.488,                 2.0072,                 1.7832,                0.24837,                 0.3871,                0.19622,                0.07066,                 2.2647,                 2.9886,                 2.6244,               0.001274,               0.001274,               0.001274
                     13,                 1.4889,                 1.9215,                 1.7802,                 0.3411,                0.53453,                0.29436,                0.09544,                 2.1795,                 2.6574,                 2.3796,               0.001208,               0.001208,               0.001208
                     14,                 1.4726,                 1.8709,                 1.7478,                0.49872,                0.48148,                0.41962,                0.18014,                 2.0653,                  2.393,                 2.3415,               0.001142,               0.001142,               0.001142
                     15,                 1.4362,                 1.8432,                 1.7011,                0.46362,                0.52998,                0.41216,                0.20483,                 2.0544,                 2.1957,                 2.3426,               0.001076,               0.001076,               0.001076
                     16,                 1.4151,                 1.8238,                 1.7149,                0.51992,                0.48387,                0.41463,                0.11683,                 2.2831,                 2.2793,                 2.5393,                0.00101,                0.00101,                0.00101
                     17,                 1.4277,                 1.7739,                 1.7032,                0.48619,                0.51613,                0.47034,                0.15779,                 2.3322,                 2.3487,                 2.5496,               0.000944,               0.000944,               0.000944
                     18,                 1.3559,                 1.7252,                 1.6907,                 0.4538,                0.51613,                0.42423,                0.15702,                 2.1626,                 2.2525,                 2.4012,               0.000878,               0.000878,               0.000878
                     19,                 1.3862,                 1.7133,                 1.6856,                0.51345,                0.58065,                0.55131,                0.25484,                 2.0349,                 1.9756,                 2.2652,               0.000812,               0.000812,               0.000812
                     20,                 1.3826,                 1.9571,                 1.7905,                0.49183,                0.65582,                0.58044,                0.24194,                 2.0217,                 2.0405,                 2.2539,               0.000746,               0.000746,               0.000746
                     21,                 1.3093,                 1.8526,                 1.7526,                0.41066,                 0.5845,                0.41066,                0.15896,                 1.9824,                 2.3053,                 2.1774,                0.00068,                0.00068,                0.00068
                     22,                  1.273,                 1.7669,                 1.7052,                0.48758,                0.52194,                0.50817,                0.24778,                 1.9298,                 1.9939,                 2.1559,               0.000614,               0.000614,               0.000614
                     23,                 1.2435,                 1.7652,                 1.7023,                0.60308,                0.51613,                0.57597,                0.29222,                 1.8083,                 1.9743,                 2.0479,               0.000548,               0.000548,               0.000548
                     24,                 1.2503,                 1.7034,                 1.6419,                0.53473,                 0.6129,                0.56636,                0.25695,                 1.9279,                 2.0615,                 2.1763,               0.000482,               0.000482,               0.000482
                     25,                 1.2144,                  1.645,                 1.6544,                0.66224,                0.51613,                0.58933,                0.29516,                  1.836,                 1.9845,                 2.1493,               0.000416,               0.000416,               0.000416
                     26,                 1.2231,                 1.5635,                 1.6385,                0.67318,                0.51613,                0.58871,                0.29615,                 1.7566,                  1.898,                 2.0596,                0.00035,                0.00035,                0.00035
                     27,                 1.1171,                 1.4966,                  1.552,                0.69663,                0.48387,                0.57945,                0.31197,                 1.7398,                  1.829,                 2.0131,               0.000284,               0.000284,               0.000284
                     28,                 1.1394,                  1.468,                 1.5588,                0.79158,                0.51613,                0.62865,                0.33197,                 1.6591,                 1.8935,                  1.962,               0.000218,               0.000218,               0.000218
                     29,                 1.1144,                 1.4275,                 1.5341,                0.67099,                0.52659,                0.63143,                0.32876,                 1.6356,                 1.8408,                 1.9387,               0.000152,               0.000152,               0.000152
